City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Guerrero Negro,27.98,-114.06,69.19,24,0,14.27,MX,1603816290
Aktau,43.65,51.2,44.6,56,0,13.42,KZ,1603816292
Vostok,46.49,135.88,28.51,96,31,3.62,RU,1603816293
Carnarvon,-24.87,113.63,69.8,83,40,23.04,AU,1603816294
Verkhoyansk,67.54,133.38,7.11,93,97,3.62,RU,1603816295
Maryville,35.76,-83.97,68.0,88,90,4.7,US,1603816296
Hūn,29.13,15.95,80.55,19,29,11.86,LY,1603816297
Plettenberg Bay,-34.05,23.37,65.84,75,98,9.19,ZA,1603816299
Isangel,-19.55,169.27,74.03,82,30,13.69,VU,1603816300
São Filipe,14.9,-24.5,82.67,65,97,8.32,CV,1603816301
Mtwara,-10.27,40.18,80.6,74,20,13.87,TZ,1603816302
Alice Town,25.72,-79.3,82.18,80,76,15.28,BS,1603816304
Amarante do Maranhão,-5.57,-46.74,96.03,42,68,1.97,BR,1603816305
Khovd,48.01,91.64,31.46,80,97,0.54,MN,1603816306
Avera,33.19,-82.53,73.4,83,40,3.36,US,1603815956
Yulara,-25.24,130.99,68.0,24,0,6.93,AU,1603816308
Puerto Madero,14.72,-92.42,86.0,79,75,8.52,MX,1603816309
San Andrés,12.58,-81.7,86.0,79,90,8.05,CO,1603816040
Miles City,46.41,-105.84,26.6,63,1,6.93,US,1603816312
Bathsheba,13.22,-59.52,86.0,74,40,21.92,BB,1603816313
Kavieng,-2.57,150.8,82.09,71,54,3.78,PG,1603816314
Esperance,-33.87,121.9,55.4,100,0,3.36,AU,1603815846
Nemuro,43.32,145.57,49.69,69,53,4.03,JP,1603816316
Santa Cruz,30.42,-9.6,73.4,53,0,14.99,MA,1603816224
Bucerías,20.75,-105.33,86.0,66,40,3.36,MX,1603816319
Flin Flon,54.77,-101.86,24.8,92,90,3.36,CA,1603816320
Liusha,27.21,108.59,57.87,79,96,4.16,CN,1603816321
Buchanan,5.88,-10.05,86.0,74,75,13.87,LR,1603816322
Balkhash,46.84,74.98,37.98,65,0,18.84,KZ,1603816323
Iquique,-20.22,-70.14,68.0,52,0,12.75,CL,1603816325
Tabriz,38.08,46.29,57.2,29,0,4.7,IR,1603816326
Birjand,32.87,59.22,55.4,10,0,4.7,IR,1603816327
Sembakung,3.82,117.25,73.18,95,100,0.81,ID,1603816328
Nsanje,-16.92,35.26,84.33,41,56,7.4,MW,1603816329
Altay,47.87,88.12,39.87,53,11,7.4,CN,1603816330
Nadvoitsy,63.87,34.32,48.4,88,100,14.56,RU,1603816331
Mar del Plata,-38.0,-57.56,66.2,55,0,10.29,AR,1603815871
Pontes e Lacerda,-15.23,-59.34,96.19,41,79,4.45,BR,1603816334
Cherskiy,68.75,161.3,5.65,93,45,7.16,RU,1603816335
Tikrit,34.61,43.68,74.44,18,0,9.13,IQ,1603816336
Berlevåg,70.86,29.09,32.0,83,0,12.75,NO,1603816337
Inta,66.03,60.17,23.94,98,100,8.77,RU,1603816338
Pelham,33.29,-86.81,73.99,94,90,5.82,US,1603816328
Shangqiu,34.45,115.65,63.0,60,99,11.01,CN,1603816341
Mutoko,-17.4,32.23,75.67,27,0,9.98,ZW,1603816342
Kavaratti,10.57,72.64,82.24,72,15,5.64,IN,1603815891
Fortuna,40.6,-124.16,48.2,45,1,11.41,US,1603815937
Constitución,-35.33,-72.42,56.61,77,96,8.12,CL,1603816345
Forsytheganj,52.63,29.73,49.41,80,2,8.81,BY,1603816346
Cape Town,-33.93,18.42,66.2,72,20,10.29,ZA,1603815849
Bushehr,28.97,50.84,86.0,37,0,9.17,IR,1603816349
Tuktoyaktuk,69.45,-133.04,5.0,92,75,8.05,CA,1603816350
Weinan,34.5,109.51,54.0,100,90,2.24,CN,1603816351
Wanning,18.8,110.4,77.31,91,100,20.62,CN,1603816352
Viking,53.1,-111.77,44.17,80,100,14.09,CA,1603816353
Biscarrosse,44.39,-1.17,57.2,87,75,17.22,FR,1603816355
Rehoboth,-23.32,17.08,82.15,24,94,8.95,NA,1603816356
Fairbanks,64.84,-147.72,26.6,100,90,4.7,US,1603816290
Turukhansk,65.82,87.98,1.53,86,0,12.8,RU,1603816358
Moyale,3.52,39.06,70.56,78,42,6.55,KE,1603816359
College,64.86,-147.8,24.8,100,90,4.7,US,1603816361
Keetmanshoop,-26.58,18.13,90.23,11,64,17.83,NA,1603816362
Santa Rosalía,27.32,-112.28,68.05,35,0,13.44,MX,1603816363
Peniche,39.36,-9.38,64.0,88,84,10.0,PT,1603816364
Djibouti,11.5,42.5,84.2,58,1,6.93,DJ,1603816365
Osakarovka,50.56,72.57,28.13,97,100,14.2,KZ,1603816366
Darnah,32.77,22.64,73.71,66,12,6.06,LY,1603815968
Danané,7.26,-8.15,84.2,59,76,0.81,CI,1603816369
Borba,-4.39,-59.59,99.82,37,93,2.8,BR,1603816370
Lázaro Cárdenas,17.96,-102.2,83.35,79,99,1.99,MX,1603815885
Catarama,-1.58,-79.47,79.09,68,100,3.96,EC,1603816372
Letlhakeng,-24.09,25.03,84.61,19,14,7.49,BW,1603816373
Elizabeth City,36.29,-76.25,66.2,88,90,4.7,US,1603816374
Quatre Cocos,-20.21,57.76,75.2,73,75,5.82,MU,1603815978
Salalah,17.02,54.09,80.6,69,0,5.82,OM,1603816377
Abnūb,27.27,31.15,82.4,48,0,13.87,EG,1603816378
Saryg-Sep,51.5,95.6,27.27,91,95,3.0,RU,1603816379
Saldanha,-33.01,17.94,62.6,86,100,13.22,ZA,1603815930
Upernavik,72.79,-56.15,18.16,84,0,6.93,GL,1603815869
Nokaneng,-19.67,22.27,89.38,16,34,9.53,BW,1603816382
Barcelos,41.54,-8.62,59.0,100,90,17.22,PT,1603816383
Yaan,7.38,8.57,83.12,62,9,0.76,NG,1603816385
Narsaq,60.92,-46.05,33.8,64,75,4.34,GL,1603815849
Mudkhed,19.17,77.52,71.78,60,7,2.44,IN,1603816387
Mehamn,71.04,27.85,32.0,86,0,14.99,NO,1603816388
Presidencia Roque Sáenz Peña,-26.79,-60.44,87.01,34,0,1.99,AR,1603816389
Los Algarrobos,8.5,-82.43,84.2,74,40,4.7,PA,1603816280
Jijiga,9.35,42.8,64.81,37,28,15.93,ET,1603816391
Vila Velha,-20.33,-40.29,80.6,69,40,11.41,BR,1603815868
Chinhoyi,-17.37,30.2,77.94,28,52,5.55,ZW,1603816393
Nipawin,53.37,-104.0,28.4,100,90,2.24,CA,1603816202
Linhares,-19.39,-40.07,85.51,61,94,5.23,BR,1603816209
Phuket,8.0,98.25,86.0,83,20,8.05,TH,1603816397
Shipunovo,52.16,82.22,46.2,72,78,20.58,RU,1603816398
Sitka,57.05,-135.33,44.6,87,90,3.36,US,1603816399
Acapulco de Juárez,16.86,-99.89,84.2,83,90,3.11,MX,1603816372
Hualmay,-11.1,-77.61,68.56,69,72,8.61,PE,1603815918
Canatlán,24.52,-104.78,68.0,34,75,10.29,MX,1603816403
Craig,40.52,-107.55,1.4,84,1,1.63,US,1603816242
Samarai,-10.62,150.67,80.83,84,80,6.58,PG,1603816405
Soria,41.67,-2.67,46.0,86,93,4.0,ES,1603816406
Sivas Province,39.79,37.0,57.2,30,0,5.82,TR,1603816408
Hirado,33.36,129.55,59.0,82,98,1.99,JP,1603816409
Teya,60.38,92.63,24.62,95,100,11.95,RU,1603816410
Lamesa,32.74,-101.95,26.6,100,90,16.67,US,1603816411
Bubaque,11.28,-15.83,83.98,74,82,10.38,GW,1603816412
Lebu,-37.62,-73.65,53.58,63,18,9.19,CL,1603815899
Solnechnyy,50.72,136.63,31.26,93,99,1.25,RU,1603816415
Kirakira,-10.45,161.92,79.3,83,93,8.3,SB,1603816416
Tongren,27.72,109.19,63.54,68,100,3.96,CN,1603816417
Andros Town,24.7,-77.77,86.0,66,40,10.29,BS,1603816418
Mossamedes,-15.2,12.15,71.08,78,21,8.59,AO,1603816419
Muskegon,43.3,-86.13,37.4,86,90,5.57,US,1603816200
Haines Junction,60.75,-137.51,28.26,92,95,3.2,CA,1603816422
Geraldton,-28.77,114.6,66.2,68,90,14.99,AU,1603816255
Lakselv,70.05,24.97,32.0,92,0,3.36,NO,1603816424
Kununurra,-15.77,128.73,78.8,83,80,4.7,AU,1603816425
Bud,39.45,-86.18,46.99,100,90,0.45,US,1603816426
Ojinaga,29.57,-104.42,39.2,69,90,13.87,MX,1603816428
Nabire,-3.37,135.48,76.21,86,97,4.14,ID,1603816429
Talaya,61.38,152.75,10.76,92,31,3.22,RU,1603816430
Necochea,-38.55,-58.74,70.0,52,0,7.2,AR,1603816431
Okhotsk,59.38,143.3,28.78,83,2,9.1,RU,1603816432
Henties Bay,-22.12,14.28,61.0,84,1,8.01,NA,1603816434
Lavrentiya,65.58,-171.0,30.2,97,100,6.87,RU,1603815949
Ryōtsu-minato,38.08,138.43,55.98,63,20,2.46,JP,1603816436
Dingle,11.0,122.67,77.13,82,95,4.9,PH,1603816437
Andenes,69.31,16.12,39.2,93,0,10.29,NO,1603816438
Okato,-39.2,173.88,48.99,94,100,8.01,NZ,1603816440
Waterloo,43.47,-80.52,46.0,81,90,11.41,CA,1603816272
Floriano,-6.77,-43.02,97.47,38,100,2.42,BR,1603816442
Zarichne,51.81,26.13,52.93,89,0,6.93,UA,1603816443
Tsogni,-2.79,10.1,77.45,85,43,7.54,GA,1603816444
Marsabit,2.33,37.99,75.88,51,22,14.38,KE,1603816445
Lyubinskiy,55.15,72.69,33.8,100,75,2.24,RU,1603816447
Richards Bay,-28.78,32.04,74.03,79,61,9.04,ZA,1603816448
Coahuayana Viejo,18.73,-103.68,80.6,74,40,2.42,MX,1603816449
Mujiayingzi,42.12,118.78,35.64,63,3,6.44,CN,1603816450
Taltal,-25.4,-70.48,64.6,59,33,8.48,CL,1603816451
Machico,32.7,-16.77,68.0,68,75,13.87,PT,1603816453
Lago da Pedra,-4.33,-45.17,96.21,40,73,5.91,BR,1603816454
Dera Bugti,29.03,69.15,68.94,23,0,0.47,PK,1603816288
Karratha,-20.74,116.85,67.73,88,18,3.87,AU,1603816456
Lábrea,-7.26,-64.8,103.57,31,100,0.85,BR,1603816457
Saint Paul,44.94,-93.09,28.0,53,1,16.11,US,1603816239
Ahipara,-35.17,173.17,57.52,91,66,2.91,NZ,1603816460
Mombetsu,44.35,143.35,45.39,76,98,4.74,JP,1603816461
Eenhana,-17.47,16.33,102.2,9,63,4.7,NA,1603816462
Port Macquarie,-31.43,152.92,59.0,95,98,6.6,AU,1603816267
São Bento do Sul,-26.25,-49.38,89.01,55,20,6.93,BR,1603816281
Broome,42.25,-75.83,48.0,81,90,4.7,US,1603816466
Padang,-0.95,100.35,77.76,75,78,3.89,ID,1603815777
Paamiut,61.99,-49.67,28.9,86,0,18.21,GL,1603816468
Zyryanka,65.75,150.85,12.22,91,87,5.59,RU,1603816469
Raudeberg,61.99,5.14,48.99,74,27,6.4,NO,1603816471
Rawson,-43.3,-65.1,65.5,26,61,17.16,AR,1603816353
Koumac,-20.57,164.28,72.9,79,71,3.67,NC,1603816473
San Cristobal,7.77,-72.22,86.0,58,40,5.82,VE,1603816474
Alamosa,37.47,-105.87,8.6,92,90,10.85,US,1603816475
Hudiksvall,61.73,17.1,44.44,87,57,8.84,SE,1603816476
Hofn,64.25,-15.21,37.47,78,100,20.98,IS,1603816477
Guangyuan,32.44,105.82,55.99,99,92,17.0,CN,1603816479
Panama City,8.99,-79.52,84.2,79,40,4.7,PA,1603816270
Doka,13.52,35.77,85.62,27,14,3.24,SD,1603816481
Turaif,31.67,38.66,77.0,16,0,14.99,SA,1603816482
La Asuncion,11.03,-63.86,87.8,66,0,14.99,VE,1603816483
Assiut,27.18,31.18,82.4,48,0,13.87,EG,1603816268
Castlegar,49.3,-117.67,21.99,84,99,3.47,CA,1603816486
Biankouma,7.74,-7.61,83.21,59,45,2.62,CI,1603816487
Apple Valley,34.5,-117.19,57.0,10,2,8.01,US,1603816217
Aktyubinskiy,54.81,52.81,27.63,94,53,3.4,RU,1603816489
Champerico,14.3,-91.92,82.4,74,75,4.7,GT,1603816490
